checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
< 0 DM,24,Existing credits paid back duly,New car,1442,< 100 DM,4-7 years,4,A92,A101,4,Car or other,23,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,24,No credits / paid back duly,Business,4241,< 100 DM,1-4 years,1,A93,A101,4,Real estate,36,A143,Own,3,Unskilled resident,1,A192,A201,2,1,Bad Credit
No checking account,18,Critical account / other credits,New car,2775,< 100 DM,4-7 years,2,A93,A101,2,Savings/life insurance,31,A141,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Delay in past payments,Business,3863,< 100 DM,1-4 years,1,A93,A101,2,Unknown / no property,32,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,7,Existing credits paid back duly,Radio/television,2329,< 100 DM,< 1 year,1,A92,A103,1,Real estate,45,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Furniture/equipment,918,< 100 DM,1-4 years,4,A92,A101,1,Savings/life insurance,30,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,24,All credits at this bank paid back,Education,1837,< 100 DM,4-7 years,4,A92,A101,4,Unknown / no property,34,A141,Free,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,36,Existing credits paid back duly,Furniture/equipment,3349,< 100 DM,1-4 years,4,A92,A101,2,Car or other,28,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
>= 200 DM,10,Existing credits paid back duly,Furniture/equipment,1275,< 100 DM,< 1 year,4,A92,A101,2,Savings/life insurance,23,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Furniture/equipment,2828,500-1000 DM,1-4 years,4,A93,A101,4,Real estate,22,A142,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Business,4526,< 100 DM,1-4 years,3,A93,A101,2,Real estate,74,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Radio/television,2671,100-500 DM,1-4 years,4,A92,A102,4,Unknown / no property,50,A143,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,18,Existing credits paid back duly,Radio/television,2051,< 100 DM,< 1 year,4,A93,A101,1,Real estate,33,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Used car,1300,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,45,A141,Free,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Domestic appliances,741,100-500 DM,Unemployed,4,A92,A101,3,Savings/life insurance,22,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
>= 200 DM,10,Existing credits paid back duly,New car,1240,100-500 DM,>= 7 years,1,A92,A101,4,Unknown / no property,48,A143,Free,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
< 0 DM,21,Existing credits paid back duly,Radio/television,3357,>= 1000 DM,< 1 year,4,A92,A101,2,Car or other,29,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Used car,3632,< 100 DM,1-4 years,1,A92,A103,4,Car or other,22,A141,Rent,1,Skilled employee,1,A191,A202,1,0,Good Credit
No checking account,18,Delay in past payments,Furniture/equipment,1808,< 100 DM,4-7 years,4,A92,A101,1,Real estate,22,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,48,No credits / paid back duly,Business,12204,Unknown / no savings,1-4 years,2,A93,A101,2,Car or other,48,A141,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,60,Delay in past payments,Radio/television,9157,Unknown / no savings,1-4 years,2,A93,A101,2,Unknown / no property,27,A143,Free,1,Management / self-employed,1,A191,A201,1,0,Good Credit
< 0 DM,6,Critical account / other credits,New car,3676,< 100 DM,1-4 years,1,A93,A101,3,Real estate,37,A143,Rent,3,Skilled employee,2,A191,A201,1,0,Good Credit
0-200 DM,30,Existing credits paid back duly,Furniture/equipment,3441,100-500 DM,1-4 years,2,A92,A102,4,Car or other,21,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,New car,640,< 100 DM,1-4 years,4,A91,A101,2,Real estate,49,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,21,Critical account / other credits,Business,3652,< 100 DM,4-7 years,2,A93,A101,3,Savings/life insurance,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,New car,1530,< 100 DM,1-4 years,3,A93,A101,2,Savings/life insurance,32,A141,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,48,Existing credits paid back duly,Business,3914,Unknown / no savings,1-4 years,4,A91,A101,2,Real estate,38,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,1858,< 100 DM,< 1 year,4,A92,A101,1,Car or other,22,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,2600,< 100 DM,1-4 years,4,A93,A101,4,Unknown / no property,65,A143,Free,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,Radio/television,1979,Unknown / no savings,>= 7 years,4,A93,A101,2,Car or other,35,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,6,Existing credits paid back duly,Furniture/equipment,2116,< 100 DM,1-4 years,2,A93,A101,2,Real estate,41,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,9,All credits at this bank paid back,New car,1437,100-500 DM,4-7 years,2,A93,A101,3,Unknown / no property,29,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,42,Critical account / other credits,Furniture/equipment,4042,500-1000 DM,1-4 years,4,A93,A101,4,Real estate,36,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Education,3832,Unknown / no savings,>= 7 years,1,A93,A101,4,Real estate,64,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,3660,< 100 DM,1-4 years,2,A92,A101,4,Car or other,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,All credits at this bank paid back,Furniture/equipment,1553,< 100 DM,1-4 years,4,A93,A101,3,Car or other,44,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,15,Existing credits paid back duly,Radio/television,1444,Unknown / no savings,< 1 year,4,A93,A101,1,Savings/life insurance,23,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Furniture/equipment,1980,< 100 DM,< 1 year,2,A92,A102,2,Car or other,19,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,24,Existing credits paid back duly,New car,1355,< 100 DM,< 1 year,3,A92,A101,4,Car or other,25,A143,Own,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Education,1393,< 100 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,47,A141,Own,3,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,1376,500-1000 DM,4-7 years,4,A92,A101,1,Car or other,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,60,Delay in past payments,Radio/television,15653,< 100 DM,4-7 years,2,A93,A101,4,Car or other,21,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,1493,< 100 DM,< 1 year,4,A92,A101,3,Car or other,34,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,42,Delay in past payments,Radio/television,4370,< 100 DM,4-7 years,3,A93,A101,2,Savings/life insurance,26,A141,Own,2,Skilled employee,2,A192,A201,2,1,Bad Credit
< 0 DM,18,Existing credits paid back duly,Education,750,< 100 DM,Unemployed,4,A92,A101,1,Real estate,27,A143,Own,1,Unemployed / unskilled non-resident,1,A191,A201,2,1,Bad Credit
0-200 DM,15,Existing credits paid back duly,Repairs,1308,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,38,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Education,4623,100-500 DM,1-4 years,3,A93,A101,2,Savings/life insurance,40,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Radio/television,1851,< 100 DM,4-7 years,4,A94,A103,2,Car or other,33,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,Critical account / other credits,Radio/television,1880,< 100 DM,4-7 years,4,A94,A101,1,Savings/life insurance,32,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,36,Delay in past payments,Business,7980,Unknown / no savings,< 1 year,4,A93,A101,4,Car or other,27,A143,Rent,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,30,No credits / paid back duly,Furniture/equipment,4583,< 100 DM,1-4 years,2,A91,A103,2,Real estate,32,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,New car,1386,500-1000 DM,1-4 years,2,A92,A101,2,Savings/life insurance,26,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
>= 200 DM,24,Existing credits paid back duly,New car,947,< 100 DM,4-7 years,4,A93,A101,3,Unknown / no property,38,A141,Free,1,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Education,684,< 100 DM,1-4 years,4,A93,A101,4,Car or other,40,A143,Rent,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
< 0 DM,48,Existing credits paid back duly,Education,7476,< 100 DM,4-7 years,4,A93,A101,1,Unknown / no property,50,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Furniture/equipment,1922,< 100 DM,1-4 years,4,A93,A101,2,Savings/life insurance,37,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,New car,2303,< 100 DM,>= 7 years,4,A93,A102,1,Real estate,45,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,36,Delay in past payments,New car,8086,100-500 DM,>= 7 years,2,A93,A101,4,Car or other,42,A143,Own,4,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Used car,2346,< 100 DM,4-7 years,4,A93,A101,3,Car or other,35,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,14,Existing credits paid back duly,New car,3973,< 100 DM,Unemployed,1,A93,A101,4,Unknown / no property,22,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,888,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,41,A141,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
No checking account,48,Existing credits paid back duly,Radio/television,10222,Unknown / no savings,4-7 years,4,A93,A101,3,Car or other,37,A142,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,30,No credits / paid back duly,Business,4221,< 100 DM,1-4 years,2,A92,A101,1,Car or other,28,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Furniture/equipment,6361,< 100 DM,>= 7 years,2,A93,A101,1,Unknown / no property,41,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Radio/television,1297,< 100 DM,1-4 years,3,A94,A101,4,Real estate,23,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,900,Unknown / no savings,1-4 years,4,A94,A101,2,Car or other,23,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,21,Existing credits paid back duly,Furniture/equipment,2241,< 100 DM,>= 7 years,4,A93,A101,2,Real estate,50,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,6,Delay in past payments,Furniture/equipment,1050,< 100 DM,Unemployed,4,A93,A101,1,Savings/life insurance,35,A142,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
>= 200 DM,6,Critical account / other credits,Education,1047,< 100 DM,1-4 years,2,A92,A101,4,Savings/life insurance,50,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Other,6314,< 100 DM,Unemployed,4,A93,A102,2,Unknown / no property,27,A141,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,30,All credits at this bank paid back,Furniture/equipment,3496,>= 1000 DM,1-4 years,4,A93,A101,2,Car or other,34,A142,Own,1,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,48,All credits at this bank paid back,Business,3609,< 100 DM,1-4 years,1,A92,A101,1,Real estate,27,A142,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Critical account / other credits,New car,4843,< 100 DM,>= 7 years,3,A93,A102,4,Savings/life insurance,43,A143,Rent,2,Skilled employee,1,A192,A201,2,1,Bad Credit
>= 200 DM,30,Critical account / other credits,Radio/television,3017,< 100 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,47,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Business,4139,100-500 DM,1-4 years,3,A93,A101,3,Savings/life insurance,27,A143,Own,2,Unskilled resident,1,A192,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Business,5742,100-500 DM,4-7 years,2,A93,A101,2,Car or other,31,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,60,Existing credits paid back duly,New car,10366,< 100 DM,>= 7 years,2,A93,A101,4,Savings/life insurance,42,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,New car,2080,500-1000 DM,1-4 years,1,A94,A101,2,Car or other,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,21,Delay in past payments,Business,2580,500-1000 DM,< 1 year,4,A93,A101,2,Real estate,41,A141,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
No checking account,30,Critical account / other credits,Radio/television,4530,< 100 DM,4-7 years,4,A92,A101,4,Car or other,26,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Furniture/equipment,5150,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,33,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,72,Existing credits paid back duly,Radio/television,5595,100-500 DM,1-4 years,2,A94,A101,2,Car or other,24,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,2384,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,64,A141,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Radio/television,1453,< 100 DM,< 1 year,3,A92,A101,1,Real estate,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Education,1538,< 100 DM,< 1 year,1,A92,A101,2,Unknown / no property,56,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,2279,Unknown / no savings,1-4 years,4,A93,A101,4,Unknown / no property,37,A143,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,15,Delay in past payments,Radio/television,1478,< 100 DM,1-4 years,4,A94,A101,3,Real estate,33,A141,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Radio/television,5103,< 100 DM,< 1 year,3,A94,A101,3,Unknown / no property,47,A143,Free,3,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,36,Delay in past payments,Business,9857,100-500 DM,4-7 years,1,A93,A101,3,Savings/life insurance,31,A143,Own,2,Unskilled resident,2,A192,A201,1,0,Good Credit
No checking account,60,Existing credits paid back duly,New car,6527,Unknown / no savings,1-4 years,4,A93,A101,4,Unknown / no property,34,A143,Free,1,Skilled employee,2,A192,A201,1,0,Good Credit
>= 200 DM,10,Critical account / other credits,Radio/television,1347,Unknown / no savings,4-7 years,4,A93,A101,2,Savings/life insurance,27,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,36,Delay in past payments,New car,2862,100-500 DM,>= 7 years,4,A93,A101,3,Unknown / no property,30,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Radio/television,2753,100-500 DM,>= 7 years,3,A93,A102,4,Car or other,35,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,3651,>= 1000 DM,1-4 years,1,A93,A101,3,Savings/life insurance,31,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,15,Critical account / other credits,Furniture/equipment,975,< 100 DM,1-4 years,2,A91,A101,3,Savings/life insurance,25,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,15,Existing credits paid back duly,Repairs,2631,100-500 DM,1-4 years,3,A92,A101,2,Real estate,25,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Radio/television,2896,100-500 DM,< 1 year,2,A93,A101,1,Car or other,29,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,6,Critical account / other credits,New car,4716,Unknown / no savings,< 1 year,1,A93,A101,3,Real estate,44,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,2284,< 100 DM,4-7 years,4,A93,A101,2,Car or other,28,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Used car,1236,500-1000 DM,1-4 years,2,A93,A101,4,Savings/life insurance,50,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1103,< 100 DM,4-7 years,4,A93,A103,3,Real estate,29,A143,Own,2,Skilled employee,1,A191,A202,1,0,Good Credit
No checking account,12,Critical account / other credits,New car,926,< 100 DM,Unemployed,1,A92,A101,2,Savings/life insurance,38,A143,Own,1,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,1800,< 100 DM,1-4 years,4,A93,A101,2,Car or other,24,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,15,Existing credits paid back duly,Education,1905,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,40,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Furniture/equipment,1123,500-1000 DM,1-4 years,4,A92,A101,4,Car or other,29,A143,Rent,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,48,Critical account / other credits,Used car,6331,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,46,A143,Free,2,Skilled employee,1,A192,A201,2,1,Bad Credit
>= 200 DM,24,Existing credits paid back duly,Radio/television,1377,100-500 DM,>= 7 years,4,A92,A101,2,Unknown / no property,47,A143,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,30,Delay in past payments,Business,2503,100-500 DM,>= 7 years,4,A93,A101,2,Savings/life insurance,41,A142,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,27,Existing credits paid back duly,Business,2528,< 100 DM,< 1 year,4,A92,A101,1,Savings/life insurance,32,A143,Own,1,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,New car,5324,500-1000 DM,>= 7 years,1,A92,A101,4,Unknown / no property,35,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,New car,6560,100-500 DM,4-7 years,3,A93,A101,2,Savings/life insurance,24,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,12,No credits / paid back duly,Furniture/equipment,2969,< 100 DM,< 1 year,4,A92,A101,3,Savings/life insurance,25,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,9,Existing credits paid back duly,Radio/television,1206,< 100 DM,>= 7 years,4,A92,A101,4,Real estate,25,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Radio/television,2118,< 100 DM,1-4 years,2,A93,A101,2,Real estate,37,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,629,500-1000 DM,>= 7 years,4,A93,A101,3,Savings/life insurance,32,A141,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,6,All credits at this bank paid back,Education,1198,< 100 DM,>= 7 years,4,A92,A101,4,Unknown / no property,35,A143,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,21,Existing credits paid back duly,Used car,2476,Unknown / no savings,>= 7 years,4,A93,A101,4,Real estate,46,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,9,Critical account / other credits,Radio/television,1138,< 100 DM,1-4 years,4,A93,A101,4,Real estate,25,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,60,Existing credits paid back duly,New car,14027,< 100 DM,4-7 years,4,A93,A101,2,Unknown / no property,27,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,30,Critical account / other credits,Used car,7596,Unknown / no savings,>= 7 years,1,A93,A101,4,Car or other,63,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,30,Critical account / other credits,Radio/television,3077,Unknown / no savings,>= 7 years,3,A93,A101,2,Car or other,40,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Radio/television,1505,< 100 DM,1-4 years,4,A93,A101,2,Unknown / no property,32,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
>= 200 DM,24,Critical account / other credits,Radio/television,3148,Unknown / no savings,1-4 years,3,A93,A101,2,Car or other,31,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,20,No credits / paid back duly,Used car,6148,100-500 DM,>= 7 years,3,A94,A101,4,Car or other,31,A141,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,9,No credits / paid back duly,Radio/television,1337,< 100 DM,< 1 year,4,A93,A101,2,Car or other,34,A143,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
0-200 DM,6,All credits at this bank paid back,Education,433,>= 1000 DM,< 1 year,4,A92,A101,2,Savings/life insurance,24,A141,Rent,1,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,New car,1228,< 100 DM,1-4 years,4,A92,A101,2,Real estate,24,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,9,Existing credits paid back duly,Radio/television,790,500-1000 DM,1-4 years,4,A92,A101,3,Real estate,66,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,27,Existing credits paid back duly,New car,2570,< 100 DM,1-4 years,3,A92,A101,3,Real estate,21,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,6,Critical account / other credits,New car,250,>= 1000 DM,1-4 years,2,A92,A101,2,Real estate,41,A141,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Radio/television,1316,500-1000 DM,1-4 years,2,A94,A101,2,Savings/life insurance,47,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,1882,< 100 DM,1-4 years,4,A92,A101,4,Car or other,25,A141,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,48,All credits at this bank paid back,Business,6416,< 100 DM,>= 7 years,4,A92,A101,3,Unknown / no property,59,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
>= 200 DM,24,Critical account / other credits,Business,1275,>= 1000 DM,1-4 years,2,A91,A101,4,Real estate,36,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,24,Delay in past payments,Radio/television,6403,< 100 DM,< 1 year,1,A93,A101,2,Car or other,33,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,1987,< 100 DM,1-4 years,2,A93,A101,4,Real estate,21,A143,Rent,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
0-200 DM,8,Existing credits paid back duly,Radio/television,760,< 100 DM,4-7 years,4,A92,A103,2,Real estate,44,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Used car,2603,>= 1000 DM,1-4 years,2,A92,A101,4,Car or other,28,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,4,Critical account / other credits,New car,3380,< 100 DM,4-7 years,1,A92,A101,1,Real estate,37,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
0-200 DM,36,All credits at this bank paid back,Domestic appliances,3990,Unknown / no savings,< 1 year,3,A92,A101,2,Unknown / no property,29,A141,Own,1,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Used car,11560,< 100 DM,1-4 years,1,A92,A101,4,Car or other,23,A143,Rent,2,Management / self-employed,1,A191,A201,2,1,Bad Credit
< 0 DM,18,Existing credits paid back duly,New car,4380,100-500 DM,1-4 years,3,A93,A101,4,Car or other,35,A143,Own,1,Unskilled resident,2,A192,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,New car,6761,< 100 DM,4-7 years,1,A93,A101,3,Unknown / no property,45,A143,Own,2,Management / self-employed,2,A192,A201,1,0,Good Credit
0-200 DM,30,No credits / paid back duly,Business,4280,100-500 DM,1-4 years,4,A92,A101,4,Car or other,26,A143,Rent,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,24,All credits at this bank paid back,New car,2325,100-500 DM,4-7 years,2,A93,A101,3,Car or other,32,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,10,All credits at this bank paid back,Radio/television,1048,< 100 DM,1-4 years,4,A93,A101,4,Real estate,23,A142,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,21,Existing credits paid back duly,Radio/television,3160,Unknown / no savings,>= 7 years,4,A93,A101,3,Savings/life insurance,41,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Furniture/equipment,2483,500-1000 DM,1-4 years,4,A93,A101,4,Real estate,22,A142,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,39,Critical account / other credits,Furniture/equipment,14179,Unknown / no savings,4-7 years,4,A93,A101,4,Savings/life insurance,30,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,13,Critical account / other credits,Business,1797,< 100 DM,< 1 year,3,A93,A101,1,Savings/life insurance,28,A141,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
